Category,Pricing Model,Tool Name,Direct Link,What it does?,Magic Prompt Template,Integration/Workflow,Best Hindi Resource Title,Best Hindi Resource Link,Best English Resource Title,Best English Resource Link,Contributor,Contact Email
Agents,Paid (Usage/Enterprise),Vapi,https://vapi.ai/,Build AI Voice Bots that call people.,"You are a [Role]. Call [Target Audience] to [Goal]. Tone: [Adjective]. Script key points: [Point 1], [Point 2].",Connect to Twilio (Telephony) -> API Trigger -> Update CRM after call,Build AI Voice Agent - Full Guide (Tushar Gupta),https://www.youtube.com/watch?v=79txpjUFkGM,Build Voice Agents with Vapi - Complete Guide (Liam Ottley),https://www.youtube.com/watch?v=P_JJMtDgb_k,N/A,N/A
Agents,Freemium,Lyzr,https://www.lyzr.ai/,Private AI Agents for enterprise.,Create an AI agent that analyzes [Data Source] to find [Specific Insight]. Output format: [Report Type].,Connect to Enterprise Data (Snowflake/PDFs) -> Embed on Intranet/Website,Lyzr AI Agents for Enterprise - Full Walkthrough (AI Sansar),https://www.youtube.com/watch?v=oGxY8H2xBF8,Lyzr AI Agents Tutorial - Enterprise AI (Lyzr AI Official),https://www.youtube.com/watch?v=8NVSziCLzyc,N/A,N/A
Agents,Freemium,MultiOn,https://www.multion.ai/,AI Agent that controls your browser.,"Go to [Website URL], login as [User], find [Product/Info], and perform [Action, e.g., add to cart].",Browser Extension -> Takes over Chrome -> Automates Booking/Form Filling,MultiOn Browser Agent - Hands-on Guide (Technical Suneja),https://www.youtube.com/watch?v=27TNihJm7PA,MultiOn AI Agent Guide - Browser Automation (Matthew Berman),https://www.youtube.com/watch?v=qU3fmidNbJE,N/A,N/A
Agents,Freemium,Crew.ai,https://www.crewai.com/,Builds teams of autonomous AI agents.,"Agent(role='[Role]', goal='[Objective]', backstory='[Context]', tools=[List], allow_delegation=True)",Define Agents (Python) -> Assign Sequential Tasks -> Execute Automation,CrewAI Crash Course with Project (CampusX),https://www.youtube.com/watch?v=kBXYFaZ0EN0,CrewAI Crash Course: Multi-Agent Systems (DeepLearning.AI),https://www.youtube.com/watch?v=8PtGcNE01yo,N/A,N/A
Agents,Paid (Standard),Manus,https://manus.im/,Generalist agent that operates apps for you.,"Go to [Website URL], navigate to [Section], extract [Data Point], and save it to a CSV file.",Desktop App Permission -> Auto-Navigates External Apps -> Completes Task,Manus AI Agent Explained (AI Sansar),https://www.youtube.com/watch?v=zpje0xHqhOU,Manus AI Agent: First Look & Demo (World of AI),https://www.youtube.com/watch?v=TYlgqulrpd0,N/A,N/A
Audio,Freemium,ElevenLabs,https://elevenlabs.io/,Clones voices & dubs videos.,Generate speech for the following text: '[Text]'. Voice: [Description/Name]. Emotion: [Happy/Sad]. Stability: [High/Low].,Text/Voice Input -> API Dubbing -> Export Audio for Video Localization,ElevenLabs Text-to-Speech Full Guide (Technical Guruji),https://www.youtube.com/watch?v=GtnRt1QlVkA,ElevenLabs Voice Cloning Tutorial (Mike Russell),https://www.youtube.com/watch?v=YqS-3QpOmns,N/A,N/A
Automation,Freemium,n8n,https://n8n.io/,Powerful free workflow automation.,"Create a workflow that triggers when [Event] happens in [App A], filters for [Condition], and posts data to [App B].",Webhook Trigger -> Process Data with AI Agent -> Send to Slack/Email/Database,n8n Automation Full Course - 1 Hour (Kripesh Adwani),https://www.youtube.com/watch?v=r367XoxIfic,n8n Crash Course for Beginners - Automation Logic (Cole Medin),https://www.youtube.com/watch?v=d_z90B2Fwaw,N/A,N/A
Automation,Freemium,Zapier,https://zapier.com/,Connects 5000+ apps (Gmail to Excel).,"When [Trigger Event] occurs in [Source App], automatically [Action] in [Target App] using [Data Field].","Trigger (e.g., New Lead) -> Action (e.g., Add to CRM) -> Connects 5000+ Apps",Zapier Automation Masterclass (Saurabh Jain),https://www.youtube.com/watch?v=HP-wqOCGxLA,Zapier Tutorial for Beginners - Automate Workflows (Simpletivity),https://www.youtube.com/watch?v=eH7gK73W_Hk,N/A,N/A
Automation,Freemium,Make,https://www.make.com/,Visual automation builder.,"Watch for [Data] in [Module A], transform it using [Formula/Logic], and create a new item in [Module B].",Visual Visualizer -> Connect Airtable/Google Sheets -> Complex Logic -> API Output,Make.com Automation Tutorial (Pavan Agrawal),https://www.youtube.com/watch?v=Mqp_jT5avVI,Make.com Automation Tutorial - The Complete Guide (Thomas Frank),https://www.youtube.com/watch?v=GzH45LgZ1sM,N/A,N/A
Automation,Freemium,Power Automate,https://make.powerautomate.com/,Automates Windows/Office tasks & clicks buttons.,Automate the process of extracting [Data Field] from [Source Application] and saving it to [Destination] every [Time Interval].,Trigger (SharePoint/Outlook) -> Desktop Recorder -> Automate Legacy Windows Apps,Power Automate Desktop Full Course (Learn with Lokesh),https://www.youtube.com/watch?v=NwRwyoK1G7w,Microsoft Power Automate for Beginners (Kevin Stratvert),https://www.youtube.com/watch?v=f1lTMzWygTA,N/A,N/A
